"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.162749999E-2,6.125133812E-2,-2.138025633E-1,7.660823143E-1,7.977125890E-1
4.157050001E-2,2.320125470E-1,-2.892699444E-1,1.149970148E0,1.208279051E0
5.151350000E-2,9.740525723E-2,-4.634345251E-1,6.739874983E-1,8.237223386E-1
6.145650000E-2,9.492399126E-2,-3.602761924E-1,3.889754963E-1,5.386199362E-1
7.139950000E-2,2.006407732E-1,5.130697846E-2,3.413873470E-1,3.992924324E-1
8.134249999E-2,9.077042162E-2,4.829314810E-1,2.348159945E-1,5.446105361E-1
9.128650000E-2,-2.380278701E-1,6.629339218E-1,-2.280928659E-1,7.403816631E-1
1.012295000E-1,-4.930430710E-2,-1.160955897E-1,-8.025882357E-1,8.124389065E-1
1.111737500E-1,3.437417284E-1,-7.894027644E-1,-1.035220295E-1,8.671977346E-1
1.211167500E-1,-3.583533356E-1,-7.432746649E-1,1.295433086E-1,8.352579298E-1
1.310597500E-1,-2.322227544E-1,-1.481754613E-1,-6.544437647E-2,2.831366126E-1
1.410027500E-1,-1.101665130E-1,5.711563173E-1,1.609635558E0,1.711514776E0
1.509457500E-1,-4.887111613E-1,4.711902720E-1,1.739653661E0,1.867419002E0
1.608887500E-1,-1.167978695E0,-3.814284950E-2,1.290872258E-1,1.175709412E0
1.708317500E-1,-6.668302140E-1,2.067791802E-1,-2.432880253E-1,7.393302556E-1
1.807747500E-1,-4.644728445E-1,2.799103063E-1,-2.863966227E-3,5.423034253E-1
1.907177500E-1,-9.091594420E-1,1.394736350E-2,7.034258902E-2,9.119832783E-1
2.006607500E-1,-6.642339040E-1,1.901803967E-1,2.296219128E-1,7.280806861E-1
2.106037500E-1,-6.810072269E-1,2.719233021E-1,1.015327483E0,1.252438830E0
2.205467500E-1,-6.807635441E-1,-6.355952650E-2,8.669596481E-1,1.104127641E0
2.304897500E-1,-4.165857562E-1,-3.912155646E-1,4.582293338E-1,7.325076331E-1
2.404327500E-1,-3.524206044E-1,1.356460476E-1,5.040679961E-1,6.298290858E-1
2.503757500E-1,2.812468337E-1,7.669707987E-1,-9.127269745E-2,8.219943386E-1
2.603187500E-1,9.331445745E-1,1.249540922E0,-9.689771891E-1,1.836035976E0
2.702617500E-1,1.164896628E0,1.988099515E0,-1.872134026E0,2.968907147E0
2.802047500E-1,1.119431018E0,2.703397592E0,-2.252391323E0,3.692526373E0
2.901477500E-1,3.402888013E-1,2.147844862E0,-2.363154545E0,3.211469044E0
3.000907500E-1,-5.421283999E-1,1.309380450E0,-1.954875636E0,2.414522544E0
3.100347500E-1,-7.576535529E-1,7.168481737E-1,-1.077012100E0,1.499288256E0
3.199777500E-1,-1.530976474E-1,3.200157738E-1,-8.968985617E-2,3.659142733E-1
3.299207500E-1,6.412372434E-1,2.003013423E-1,1.523371586E0,1.664922466E0
3.398637500E-1,-1.926137155E-1,8.057784766E-1,2.235055498E0,2.383663583E0
3.498067500E-1,-1.123930012E0,1.738433639E0,1.406144267E0,2.502521107E0
3.597497500E-1,-1.068056504E0,1.873061686E0,1.131084226E0,2.434842152E0
3.696927500E-1,-6.220319174E-1,1.649115958E0,9.154324812E-1,1.986082520E0
3.796357500E-1,-6.381790034E-1,1.614098738E0,5.798958582E-1,1.829990815E0
3.895787500E-1,-2.380442423E-1,1.652151540E0,3.097878242E-1,1.697715603E0
3.995217500E-1,-1.631995896E-1,1.579584378E0,3.979375237E-1,1.637093518E0
4.094647500E-1,-7.536710143E-2,1.863979206E0,6.157457221E-1,1.964495222E0
4.194077500E-1,8.176410154E-1,2.447043378E0,4.574832290E-1,2.620276518E0
4.293507500E-1,1.933876822E0,2.592027137E0,1.734687620E-1,3.238607055E0
4.392937500E-1,2.180228496E0,1.968168403E0,-1.000236404E-1,2.938892289E0
4.492367500E-1,1.323521064E0,1.056820787E0,-1.909846812E-1,1.704421700E0
4.591797500E-1,5.992296767E-1,5.484471935E-1,1.876640475E-1,8.337195717E-1
4.691227500E-1,-2.555721483E-1,7.427668342E-1,5.539587790E-1,9.611919797E-1
4.790657500E-1,-1.157687303E0,1.681349904E0,9.859598422E-1,2.267001147E0
4.890087500E-1,-1.594269660E0,2.356295761E0,7.201571131E-1,2.934697894E0
4.989517500E-1,-1.699630054E0,2.414007779E0,1.317997491E-1,2.955257528E0
5.088947500E-1,-1.008407595E0,2.154858597E0,-3.511802638E-1,2.404917676E0
5.188377500E-1,-3.188884306E-1,1.983484600E0,-6.897048140E-1,2.124051252E0
5.287817500E-1,-2.493252754E-3,1.810243002E0,-8.267506850E-1,1.990101163E0
5.387247500E-1,-2.443843782E-1,1.327771112E0,-9.712260282E-1,1.663123522E0
5.486677500E-1,-3.883130068E-1,5.099684215E-1,-8.454530042E-1,1.060964450E0
5.586107500E-1,-9.050226831E-1,-6.234342259E-1,-1.631080806E0,1.966764065E0
5.685537500E-1,-1.442854841E0,-2.359431038E0,-2.505061791E0,3.731498291E0
5.784967500E-1,-1.228057374E0,-4.149833853E0,-2.182579077E0,4.846947219E0
5.884397500E-1,-2.644338959E-1,-4.551898341E0,-1.588846368E0,4.828471453E0
5.983827500E-1,4.612897664E-1,-4.347560374E0,-5.659888405E-1,4.408447892E0
