"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.307666667E-3,6.633022964E-2,-3.251051903E-1,-3.316762912E-1,4.691505582E-1
1.925166667E-2,8.876278013E-2,-3.527636898E-1,-4.908790165E-1,6.109691161E-1
2.919566668E-2,1.654370266E-1,-1.915489376E-2,-4.953182226E-1,5.225671836E-1
3.913966667E-2,1.219588852E-1,3.511773401E-1,-4.159668285E-1,5.578780299E-1
4.908366667E-2,5.207062483E-2,5.276211655E-1,-3.609591472E-1,6.413945355E-1
5.902766668E-2,-6.988212079E-2,4.359982198E-1,-2.846997607E-1,5.253873925E-1
6.897166667E-2,4.464349151E-4,5.068191111E-2,-5.297746950E-1,5.321936517E-1
7.891566667E-2,2.159897143E-1,-2.082795757E-1,-4.638982093E-1,5.524793996E-1
8.885966668E-2,3.286141044E-1,-9.430389404E-3,-3.733926666E-1,4.974919550E-1
9.880366667E-2,4.447076476E-1,4.834594846E-2,-4.118252456E-1,6.080314593E-1
1.087476667E-1,5.405166149E-1,-4.950252771E-2,-6.606418133E-1,8.550183137E-1
1.186916667E-1,5.731677595E-1,-6.010645330E-2,-1.084621666E0,1.228225641E0
1.286346667E-1,5.343975037E-1,1.375849843E-2,-1.604505211E0,1.691214641E0
1.385796667E-1,3.446500933E-1,8.051031232E-2,-2.037815466E0,2.068322381E0
1.485226667E-1,-3.285594329E-1,-3.491243827E-1,-2.038884337E0,2.094490027E0
1.584676667E-1,-7.670465201E-2,1.696826899E-1,-1.769994278E0,1.779762783E0
1.684116667E-1,5.491582149E-1,2.940903890E-1,-2.492335911E0,2.569008018E0
1.783546667E-1,6.293270499E-1,-2.609167957E-1,-3.188189657E0,3.260166161E0
1.882986667E-1,9.447334635E-1,-2.819486457E-1,-2.463107434E0,2.653095284E0
1.982426667E-1,1.505647506E0,-2.174006474E-1,-1.468260993E0,2.114244025E0
2.081866667E-1,1.902822845E0,-3.739393812E-1,-6.609645796E-1,2.048765388E0
2.181306667E-1,1.914298882E0,-4.201809168E-1,-8.503120404E-1,2.136380767E0
2.280746667E-1,2.315483657E0,-1.563124466E-1,-2.285068488E0,3.256905916E0
2.380186667E-1,2.685378812E0,-1.059357601E-1,-3.863023247E0,4.705893152E0
2.479626667E-1,2.998357462E0,-5.523946488E-1,-4.626373742E0,5.540633657E0
2.579066667E-1,3.069284188E0,-1.507885820E0,-5.466117525E0,6.447686862E0
2.678506667E-1,3.621295259E0,-1.622538609E0,-5.777614490E0,7.009082685E0
2.777946667E-1,4.349836695E0,-2.321265677E0,-2.356296930E0,5.464566665E0
2.877386667E-1,3.429640779E0,-4.011343719E0,2.310882776E0,5.761379480E0
2.976826667E-1,2.888023718E0,-4.274339785E0,9.023412085E0,1.039387451E1
3.076266667E-1,4.824002615E-1,-4.526467631E0,8.662973340E0,9.786149719E0
3.175706667E-1,-4.301001334E-1,-5.032344756E0,2.434301126E-1,5.056553973E0
3.275146667E-1,1.377026010E0,-5.092232523E0,-1.802220038E0,5.574498163E0
3.374586667E-1,3.713149170E0,-5.224232247E0,-6.714620858E-1,6.444450377E0
3.474026667E-1,3.690217559E0,-5.273966909E0,-2.223124255E0,6.809898240E0
3.573466667E-1,5.339020692E0,-5.502020599E0,-3.314214696E0,8.352328517E0
3.672906667E-1,5.032236582E0,-5.798381462E0,-6.320462390E0,9.944489802E0
3.772346667E-1,2.584188652E0,-6.311649467E0,-3.323375528E0,7.586815859E0
3.871786667E-1,1.053480565E0,-4.812113471E0,-2.191239388E0,5.391455037E0
