"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.420208333E-2,2.363935733E-1,-2.680825585E-1,-6.418471080E-1,7.346549460E-1
5.427608333E-2,1.760997167E-1,-3.627437174E-1,-8.488356185E-1,9.397425296E-1
6.434908333E-2,8.035711527E-2,-2.971788883E-1,-7.347926939E-1,7.966761328E-1
7.442308332E-2,-1.416432443E-1,-1.597962177E-1,-5.222288632E-1,5.641991009E-1
8.449608333E-2,-1.784178454E-1,-7.332583845E-2,-1.953455347E-1,2.745350325E-1
9.457008333E-2,2.594275099E-1,-2.895985579E-1,1.137909096E-1,4.051152043E-1
1.046430833E-1,7.953879744E-1,-4.824964482E-1,2.617055851E-1,9.664029520E-1
1.147160833E-1,1.212325441E0,-4.986365175E-1,8.358828664E-2,1.313528969E0
1.247900833E-1,1.317939604E0,-4.473321703E-1,1.065350997E-1,1.395858373E0
1.348630833E-1,9.708585307E-1,-3.261723071E-1,3.314470804E-1,1.076481225E0
1.449370833E-1,3.278679997E-1,-5.330877274E-2,5.797584486E-1,6.681759568E-1
1.550100833E-1,-1.351525426E-2,4.301328778E-2,8.081612170E-1,8.094179129E-1
1.650840833E-1,2.355527437E-1,-5.414258569E-2,5.502276707E-1,6.009717166E-1
1.751570833E-1,4.009780759E-1,-7.191929072E-2,4.089437377E-1,5.772268032E-1
1.852300833E-1,2.998887804E-1,-5.158121288E-3,2.377928120E-1,3.827601184E-1
1.953040833E-1,7.626289487E-2,1.213396651E-1,1.753194058E-1,2.264425700E-1
2.053770833E-1,-2.385403785E-1,1.510493678E-1,3.224458766E-1,4.285892754E-1
2.154510833E-1,-4.935836461E-1,1.978539902E-1,7.206377542E-1,8.955946572E-1
2.255240833E-1,-4.698009735E-1,1.325940934E-1,1.103622193E0,1.206762650E0
2.355980833E-1,-2.961620575E-1,1.491466838E-1,1.418700578E0,1.456937894E0
2.456710833E-1,3.669768092E-1,1.064543497E0,1.469043351E0,1.850949271E0
2.557450833E-1,9.319035029E-1,1.000516778E0,-3.035172701E-2,1.367625383E0
2.658180833E-1,1.239438395E0,6.629883009E-1,3.923481703E-3,1.405623141E0
2.758910833E-1,1.273757750E0,6.177817225E-1,6.551881152E-1,1.559930937E0
2.859650833E-1,7.906312644E-1,8.131860217E-1,1.064052916E0,1.555177774E0
2.960380833E-1,3.472559050E-1,9.907802868E-1,2.022305142E0,2.278585159E0
3.061120833E-1,2.237746972E-1,1.150883191E0,2.442845078E0,2.709630843E0
3.161850833E-1,-2.058045955E-1,6.901304913E-1,1.594506472E0,1.749596101E0
3.262590833E-1,3.805525821E-1,4.214290050E-1,4.338721722E-1,7.146101985E-1
3.363320833E-1,1.197384928E0,2.215939781E-1,-1.889930027E0,2.248259340E0
3.464050833E-1,1.584969810E0,-8.059731889E-1,-4.407268631E0,4.752445567E0
3.564790833E-1,1.968277161E0,-2.972381499E0,-3.902980780E0,5.286059565E0
3.665520833E-1,1.867069314E0,-4.571341503E0,-3.177184027E-1,4.948136613E0
3.766260833E-1,6.782457331E-1,-4.937386558E0,3.024312667E0,5.829602937E0
3.866990833E-1,-7.140879956E-1,-4.116405321E0,4.533309458E0,6.164868942E0
3.967730833E-1,-1.115131706E0,-3.388450653E0,2.536755454E0,4.377241687E0
4.068460833E-1,1.519837528E-1,-3.045666114E0,-1.869526168E0,3.576913366E0
4.169200833E-1,6.952013429E-1,-2.451252789E0,-3.410333565E0,4.257031850E0
4.269930833E-1,1.230730868E0,-2.704545400E0,-3.353288714E0,4.480380507E0
4.370660833E-1,2.050968778E0,-2.501631522E0,-1.694414338E0,3.651804095E0
4.471400833E-1,2.319422342E0,-2.299382472E0,-2.322619307E-1,3.274267148E0
4.572130833E-1,2.530968465E0,-2.623604733E0,-8.686243504E-1,3.747480677E0
4.672870833E-1,3.072639905E0,-2.927637435E0,-3.061059494E0,5.232806337E0
4.773600833E-1,3.773763161E0,-3.155852800E0,-6.770661743E0,8.369143070E0
4.874340833E-1,2.571547264E0,-3.912774282E0,-5.297376237E0,7.069996669E0
4.975070833E-1,2.495267705E0,-3.539230757E0,-2.986532637E0,5.260408013E0
5.075800833E-1,2.185533236E0,-2.726426851E0,-6.553155845E-1,3.555193021E0
5.176540833E-1,-2.289497754E-1,-2.316362786E-1,-9.482113874E-1,1.002585757E0
5.277270833E-1,-6.868368716E0,7.057357743E0,-5.714140626E0,1.138561330E1
5.378010833E-1,-4.300661026E0,-2.085269129E0,-5.970546879E0,7.647971145E0
