"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.651249907E-4,6.139773779E-2,1.035913190E-1,8.926944137E-3,1.207498816E-1
9.307875007E-3,-1.692030720E-1,1.546658707E-1,4.740162313E-2,2.340899934E-1
1.938087500E-2,-2.741398354E-1,2.284317121E-1,2.740923268E-1,4.499558868E-1
2.945387500E-2,-1.918396904E-1,2.092949447E-1,3.853502226E-1,4.786456254E-1
3.952687500E-2,-2.162592709E-3,1.382641384E-1,4.319636410E-1,4.535573128E-1
4.959987500E-2,1.850704419E-1,8.443876415E-2,2.677200311E-1,3.362365067E-1
5.967287501E-2,2.570526633E-1,9.617558777E-2,-6.546542645E-3,2.745335546E-1
6.974587501E-2,2.103076825E-1,1.406267059E-1,-3.110590088E-1,4.009524893E-1
7.981887501E-2,2.332577115E-1,1.535057831E-1,-6.212742645E-1,6.811423472E-1
8.989187500E-2,2.878256822E-1,2.105816245E-1,-8.380159307E-1,9.107463664E-1
9.996487500E-2,2.846646774E-1,3.301308721E-1,-9.046081156E-1,1.004159456E0
1.100378750E-1,2.807990831E-1,2.723954648E-1,-7.823293877E-1,8.746923374E-1
1.201098750E-1,3.638945957E-1,1.478412929E-1,-5.984087276E-1,7.157997834E-1
1.301828750E-1,5.784259412E-1,7.893741131E-6,-5.339905375E-1,7.872245320E-1
1.402558750E-1,8.816944854E-1,-2.168214807E-1,-2.728012615E-1,9.480597283E-1
1.503328750E-1,1.008610494E0,-5.249016255E-1,-2.198020989E-1,1.158071590E0
1.604058750E-1,1.035236448E0,-4.220423779E-1,-6.159193844E-1,1.276397650E0
1.704788750E-1,1.081875887E0,-1.744040242E-1,-9.494697082E-1,1.449953422E0
1.805518750E-1,1.129803248E0,-1.884721327E-1,-9.112388581E-1,1.463671199E0
1.906248750E-1,1.407771840E0,-6.181591603E-1,-3.780435419E-1,1.583306420E0
2.006978750E-1,1.051109958E0,-7.058624250E-1,-9.085432917E-1,1.558372490E0
2.107708750E-1,1.075775706E0,-1.798363799E-1,-4.236477309E-1,1.170090549E0
2.208438750E-1,1.715912357E0,-2.395805982E-1,-3.605375630E-1,1.769672686E0
2.309168750E-1,1.667913733E0,-8.199521273E-1,-2.257165575E-1,1.872219452E0
2.409898750E-1,1.196511427E0,-6.884988257E-1,3.921709996E-1,1.435084778E0
2.510628750E-1,8.859677768E-1,-3.610462707E-1,4.706599295E-1,1.066214838E0
2.611358750E-1,8.607646693E-1,-3.299019536E-1,3.347238600E-1,9.807095276E-1
2.712088750E-1,9.881369068E-1,-4.144082531E-1,4.912801355E-1,1.178772632E0
2.812818750E-1,1.140396941E0,-5.415153193E-1,3.804806614E-1,1.318525524E0
2.913548750E-1,1.297930724E0,3.726600105E-1,-1.461400455E-1,1.358254969E0
3.014278750E-1,1.492584826E0,-1.704258710E-2,-3.324761903E-1,1.529261367E0
3.115008750E-1,1.182769081E0,-1.703105054E0,-7.215598601E-1,2.195485859E0
3.215738750E-1,6.031478228E-1,-2.288769776E0,-8.771718103E-1,2.524219635E0
3.316468750E-1,8.341172265E-1,-1.935872477E0,-1.628149597E0,2.663498621E0
3.417198750E-1,1.108517336E0,-8.139169237E-1,-4.937774813E-1,1.461193911E0
3.517928750E-1,1.003821624E0,-3.676543553E-1,2.405532825E-1,1.095761589E0
3.618658750E-1,7.416889000E-1,-6.356913055E-1,6.562891459E-1,1.176826794E0
3.719388750E-1,4.964981908E-1,-1.137357412E0,1.032218919E0,1.614177262E0
3.820118750E-1,3.685897271E-1,-1.333049540E0,9.366508573E-1,1.670387468E0
3.920848750E-1,2.689803985E-1,-1.156421381E0,4.124982601E-1,1.256907188E0
4.021578750E-1,2.734653591E-1,-8.459884630E-1,-3.771559346E-1,9.657776044E-1
4.122308750E-1,1.989002033E-1,-5.467934547E-1,-8.808736825E-1,1.055690683E0
4.223038750E-1,-1.231992258E-1,-3.217914270E-1,-7.483816230E-1,8.238949116E-1
4.323768750E-1,-4.721392751E-1,-3.319495024E-1,-8.437649131E-1,1.022274521E0
4.424498750E-1,-6.142695194E-1,-3.984050086E-1,-1.107638061E0,1.327748345E0
4.525228750E-1,-3.313202689E-1,-4.474746962E-1,-8.648663449E-1,1.028591522E0
4.625958750E-1,5.413754247E-2,-7.100083932E-1,5.858033001E-2,7.144749450E-1
4.726688750E-1,2.864830884E-1,-1.222264976E0,3.957600206E-1,1.316294126E0
4.827418750E-1,2.507300690E-1,-1.712183295E0,-4.213053364E-1,1.780992810E0
4.928148750E-1,8.004594107E-1,-1.661801639E0,-1.156273447E0,2.176990638E0
5.028878750E-1,1.876750402E0,-1.386786768E0,-9.903142637E-1,2.534973758E0
5.129608750E-1,1.748236204E0,-1.224372459E0,-1.815141799E0,2.801813251E0
5.230338750E-1,4.294053380E-1,-1.085055529E0,-1.238791693E0,1.701863480E0
5.331068750E-1,2.165712199E-1,-1.258727628E0,-2.430084699E0,2.745288688E0
5.431788750E-1,-5.287625420E-1,-1.778882484E0,-2.155945010E0,2.844663707E0
5.532518750E-1,-7.353788772E-1,-1.524788366E0,-2.374994572E0,2.916566624E0
5.633248750E-1,3.172582269E-2,-8.377646466E-1,-3.185317504E0,3.293797768E0
5.733978750E-1,6.960250694E-1,-1.069335875E-1,-3.521359327E0,3.591080227E0
5.834708750E-1,1.305676531E0,-2.258168373E-1,-1.945666856E0,2.354018683E0
5.935438750E-1,1.218294863E0,-3.529046077E-1,-1.031560523E0,1.634900960E0
6.036168750E-1,9.044999421E-1,-7.500390163E-1,-5.789953870E-1,1.309929131E0
6.136898750E-1,6.622761101E-1,-1.050501555E0,1.444952238E-1,1.250216794E0
6.237628750E-1,1.114046609E-1,-1.333831167E0,9.041023314E-1,1.615214415E0
6.338358750E-1,-5.381025919E-1,-1.738858439E0,1.407291491E0,2.300793866E0
6.439088750E-1,-7.406533581E-1,-1.592688281E0,9.558905357E-1,1.999737501E0
6.539818750E-1,-7.328777307E-1,-1.374506153E0,6.859672737E-1,1.702036437E0
6.640548750E-1,-5.747921160E-1,-1.451748749E0,4.407116604E-1,1.622401668E0
6.741278750E-1,-3.508399558E-1,-1.159356464E0,-7.205640793E-1,1.409400113E0
6.842008750E-1,-1.912589157E-1,-4.712314218E-1,-1.261927371E0,1.360551254E0
6.942738750E-1,2.950914323E-2,8.433987312E-1,3.730932891E-1,9.227084110E-1
7.043468750E-1,-3.705982822E-1,1.281003474E0,1.056411774E0,1.701269768E0
7.144198750E-1,-1.053259833E0,3.258024707E-2,1.921742388E0,2.191691482E0
7.244928750E-1,-1.428896368E0,-1.069069534E0,2.869333971E0,3.379013456E0
7.345658750E-1,-1.719773127E0,-4.465278127E-1,3.174435836E0,3.637863325E0
7.446388750E-1,-1.894544649E0,2.903242705E-1,2.887771996E0,3.465950765E0
7.547118750E-1,-1.813334425E0,4.338773616E-1,1.761531603E0,2.565038965E0
7.647848750E-1,-1.109426724E0,2.833946621E-1,7.733159047E-1,1.381722722E0
7.748578750E-1,-1.007127640E0,2.138722913E-1,3.994080985E-1,1.104343366E0
7.849308750E-1,-1.740398011E0,3.451640636E-2,3.433034796E-1,1.774269962E0
7.950038750E-1,-2.055947389E0,1.352611363E-1,1.684471732E-1,2.067266237E0
8.050768750E-1,-2.383236515E0,6.820192337E-3,7.881719255E-1,2.510194770E0
