Window,Action
0,walking
1,walking
2,walking
3,walking
4,walking
5,walking
6,walking
7,walking
8,walking
9,walking
10,jumping
11,walking
12,walking
13,walking
14,walking
15,walking
16,walking
17,jumping
18,jumping
19,walking
20,walking
21,jumping
22,walking
23,walking
24,walking
25,walking
26,jumping
27,walking
28,walking
29,walking
30,walking
31,walking
32,walking
33,walking
34,walking
35,walking
36,walking
37,walking
38,walking
39,jumping
40,walking
41,walking
42,walking
43,walking
44,walking
45,jumping
46,walking
47,walking
48,jumping
49,walking
50,walking
51,walking
52,jumping
53,walking
54,jumping
55,jumping
56,walking
57,walking
58,jumping
59,jumping
60,walking
